term,estimate,std.error,statistic,p.value,2.50%,97.50%,survey
hv104,-0.034598806,0.006895562,-5.017546844,7.62E-07,-0.048151223,-0.021046389,2019-20
age_bin24 years or older,-0.036560863,0.008148811,-4.48665005,9.25E-06,-0.052576393,-0.020545333,2019-20
wealth_binwealth quintiles 1 & 2,0.042779349,0.009031186,4.736847531,2.94E-06,0.025029615,0.060529083,2019-20
educat_binsecondary or higher,-0.039631117,0.007064868,-5.609604951,3.59E-08,-0.053516284,-0.02574595,2019-20
owns_livestock1,-0.003221094,0.007947106,-0.40531662,0.68544224,-0.018840196,0.012398008,2019-20
hv201_cat,0.035844106,0.010158038,3.528644413,0.000461761,0.015879675,0.055808537,2019-20
hml1_cat,-0.035031661,0.009339891,-3.750756903,0.00019993,-0.05338812,-0.016675203,2019-20
hml20,-0.019100033,0.007487821,-2.550813086,0.01108552,-0.033816466,-0.0043836,2019-20
bednetper_cat1,-0.019139011,0.007107849,-2.692658536,0.007359698,-0.033108653,-0.005169369,2019-20
hv025,0.02878829,0.010807496,2.663733489,0.008012208,0.007547426,0.050029154,2019-20
elev1500_bin>= 1500,-0.055388925,0.012715282,-4.356090976,1.65E-05,-0.080379317,-0.030398533,2019-20
rain_catbelow avg. rain,-0.012025568,0.010404288,-1.155828081,0.248380136,-0.032473973,0.008422837,2019-20
temp_catbelow avg. temp,-0.061464042,0.00901832,-6.815464666,3.11E-11,-0.07918849,-0.043739594,2019-20
