term,estimate,std.error,statistic,p.value,conf.low,conf.high,predictor,survey
hv104,-0.034598806,0.006895562,-5.017546844,7.62E-07,-0.048151223,-0.021046389,hv104,2019-20
age_bin24 years or older,-0.036560863,0.008148811,-4.48665005,9.25E-06,-0.052576393,-0.020545333,age_bin,2019-20
wealth_binwealth quintiles 1 & 2,0.042779349,0.009031186,4.736847531,2.94E-06,0.025029615,0.060529083,wealth_bin,2019-20
educat_binsecondary or higher,-0.039631117,0.007064868,-5.609604951,3.59E-08,-0.053516284,-0.02574595,educat_bin,2019-20
owns_livestock,-0.003221094,0.007947106,-0.40531662,0.68544224,-0.018840196,0.012398008,owns_livestock,2019-20
hv201_cat,0.035844106,0.010158038,3.528644413,0.000461761,0.015879675,0.055808537,hv201_cat,2019-20
hml1_cat,-0.035031661,0.009339891,-3.750756903,0.00019993,-0.05338812,-0.016675203,hml1_cat,2019-20
hml20,-0.019100033,0.007487821,-2.550813086,0.01108552,-0.033816466,-0.0043836,hml20,2019-20
bednetper_cat,-0.019139011,0.007107849,-2.692658536,0.007359698,-0.033108653,-0.005169369,bednetper_cat,2019-20
hv025,0.02878829,0.010807496,2.663733489,0.008012208,0.007547426,0.050029154,hv025,2019-20
elev1500_bin>= 1500,-0.055388925,0.012715282,-4.356090976,1.65E-05,-0.080379317,-0.030398533,elev1500_bin,2019-20
rain_catbelow avg. rain,-0.012025568,0.010404288,-1.155828081,0.248380136,-0.032473973,0.008422837,rain_cat,2019-20
temp_catbelow avg. temp,-0.061464042,0.00901832,-6.815464666,3.11E-11,-0.07918849,-0.043739594,temp_cat,2019-20
wealth_binwealth quintiles 1 & 2,0.079833695,0.016218141,4.9224935,1.26E-06,0.047949274,0.111718117,wealth_bin,2014-15
age_bin24 years or older,-0.04786376,0.012254732,-3.9057368,1.10E-04,-0.071956228,-0.023771291,age_bin,2014-15
bednetper_cat,-0.058099069,1.46E-02,-3.9663923,8.66E-05,-0.086896315,-0.029301822,bednetper_cat,2014-15
educat_binsecondary or higher,-0.075976169,0.014515602,-5.2341038,2.70E-07,-0.104513446,-0.047438893,educat_bin,2014-15
elev1500_bin>= 1500,-0.148104807,2.46E-02,-6.0140058,4.12E-09,-0.196520123,-0.099689491,elev1500_bin,2014-15
hml1_cat,0.022552117,1.79E-02,1.26E+00,2.09E-01,-0.012708422,0.057812656,hml1_cat,2014-15
hml20,-0.01709578,1.43E-02,-1.1922158,2.34E-01,-0.045286847,0.011095287,hml20,2014-15
hv025,0.096974288,1.80E-02,5.3730514,1.32E-07,0.061491882,0.132456695,hv025,2014-15
hv104,-0.01099223,1.18E-02,-0.9319336,3.52E-01,-0.034181033,0.012196572,hv104,2014-15
age_years,-0.002316725,0.000552403,-4.1939042,3.39E-05,-0.003402735,-0.001230716,age_years,2014-15
hv201_cat,0.100452458,0.018233109,5.5093433,6.50E-08,0.064606664,0.136298251,hv201_cat,2014-15
owns_livestock,0.007595626,0.01443422,0.5262236,5.99E-01,-0.020781654,0.035972907,owns_livestock,2014-15
temp_catbelow avg. temp,0.15944036,0.019270476,8.273815,2.00E-15,0.12155513,0.1973256,temp_cat,2014-15
rain_catbelow avg. rain,-0.04401083,0.02010822,-2.188698,2.92E-02,-0.08354305,-0.004478615,rain_cat,2014-15
